geneSymbol,ID,Ratio_40A_03A,Ratio_03A_40A,average 03A,Average 40A,PAUVKY.03A,PAWHSD.03A,PAUTLA.03A,PAVUDU.03A,PAUVKY.40A,PAWHSD.40A,PAUTLA.40A,PAVUDU.40A
STK4,11642,0.89,1.11,303,272,266,125,380,442,436,0,410,242
IL6ST,15677,0.89,1.11,211,189,344,104,297,99,192,0,334,230
EIF3L,12492,0.90,1.11,1023,923,921,465,1442,1264,963,0,821,1906
SMARCC1,13993,0.91,1.09,206,188,280,89,257,198,217,26,155,353
CDK4,5049,0.91,1.09,334,305,383,132,308,511,245,31,143,800
TRPC4AP,11838,0.91,1.09,226,207,0,209,338,358,265,0,271,292
CASP8,10153,0.91,1.09,218,200,120,213,221,318,199,283,166,151
ELOVL5,16558,0.91,1.09,308,282,295,172,325,438,424,0,205,500
CD74,15490,0.92,1.08,1244,1147,2165,1019,881,911,1005,0,2738,844
GAS5,1335,0.92,1.08,300,277,275,137,390,397,215,77,190,626
CD74,15487,0.94,1.06,1419,1338,2481,1195,1019,982,1144,0,3210,996
USP7,7723,0.94,1.05,187,177,278,104,366,0,233,0,238,236
THBS1,6206,0.97,1.04,2122,2049,381,465,2472,5170,5525,1244,1235,191
MAN2B1,9618,0.96,1.03,175,169,0,156,272,272,150,152,137,238
USP16,12068,0.98,1.01,187,185,261,0,278,210,205,0,230,306
HEXA,6835,0.99,1.00,155,154,163,56,205,197,150,24,111,331
RPS9,9523,1.01,0.99,1205,1216,0,921,2116,1782,938,1732,737,1456
PTPRC,450,1.01,0.99,405,409,583,0,459,579,631,0,497,507
PABPC1,17921,1.01,0.99,4944,5001,5030,2179,7169,5398,5935,1254,4927,7886
AZIN1,17952,1.01,0.98,211,213,0,128,453,262,293,0,277,282
CLK1,10982,1.01,0.98,468,475,571,306,642,351,492,28,832,546
CTSS,1115,1.01,0.98,236,240,561,68,204,112,114,160,437,249
DDB1,3712,1.01,0.98,187,190,0,133,326,290,211,38,141,371
STXBP5,15835,1.02,0.97,281,288,402,124,286,311,412,0,279,462
LCP1,5410,1.03,0.97,378,390,590,164,328,430,303,281,370,606
PABPC1,17922,1.03,0.97,2511,2599,4849,0,0,5195,5748,0,4648,0
TM7SF3,4831,1.03,0.97,243,251,491,68,200,213,143,5,76,779
PCM1,17670,1.03,0.96,198,206,245,89,202,255,356,0,161,305
RPS3,3419,1.05,0.95,1700,1793,1542,1011,2320,1926,1462,983,1068,3658
RPSA,13267,1.06,0.94,1999,2115,0,0,4276,3720,2277,0,1959,4224
STAG2,19034,1.05,0.94,146,154,163,0,175,246,195,0,214,207
NAP1L1,5094,1.07,0.94,831,887,718,264,1498,842,1018,171,1071,1288
NAP1L1,5095,1.07,0.93,1379,1479,1152,467,2473,1424,1657,285,1802,2172
TRAPPC10,12189,1.07,0.93,187,201,282,0,465,0,250,0,241,311
SMCHD1,8908,1.07,0.93,186,200,125,77,260,281,272,14,335,178
DDX21,2346,1.08,0.92,222,241,443,0,445,0,206,0,393,366
ESYT2,17332,1.09,0.91,183,201,231,83,243,174,268,0,272,263
PABPC1,17919,1.11,0.90,3009,3356,3389,1296,4077,3275,3733,1240,3124,5327
GAS5,1328,1.12,0.89,462,517,434,253,693,467,464,220,352,1032
XPO1,11344,1.11,0.89,146,162,224,58,145,155,187,0,136,326
DDX3Y,19528,1.11,0.89,162,181,404,0,0,242,215,0,252,257
UXT,19435,1.13,0.88,200,228,0,139,350,311,221,67,214,408
PABPC1,17918,1.15,0.87,4120,4722,4558,1815,5470,4636,5194,1799,4609,7287
RPS3,3420,1.15,0.87,4645,5332,4414,2669,6352,5146,4466,3624,3271,9967
RPL5,945,1.15,0.87,2087,2406,3505,0,0,4843,3544,0,0,6080
GAS5,1331,1.15,0.86,267,308,256,126,385,301,217,150,184,681
FOXP1,14161,1.17,0.85,345,406,447,206,416,312,439,56,695,435
CHD1,15766,1.18,0.84,170,201,241,0,437,0,217,0,334,251
DDX21,2352,1.18,0.84,219,259,484,0,391,0,204,0,432,401
DDX21,2353,1.18,0.84,219,259,484,0,391,0,204,0,432,401
EPB41,693,1.18,0.83,161,192,304,108,118,115,151,57,179,382
GAS5,1325,1.20,0.83,229,276,249,144,305,216,269,137,201,495
ESYT2,17335,1.19,0.83,128,154,179,49,153,132,197,0,200,220
EPB41,694,1.24,0.80,171,213,296,121,141,126,198,77,214,361
OGA,2550,1.24,0.80,270,336,295,146,372,265,389,0,466,487
ELP2,8925,1.29,0.77,167,216,179,78,194,216,215,108,189,352
GAS5,1326,1.30,0.76,267,348,229,140,319,378,229,58,217,889
GAS5,1324,1.30,0.76,270,352,231,141,323,383,231,58,219,901
AP2M1,13090,1.32,0.75,209,277,0,235,599,0,299,184,148,476
SMCHD1,8903,1.34,0.74,198,266,0,117,338,335,368,0,453,241
GAS5,1321,1.41,0.70,303,430,260,155,432,364,380,138,265,936
PLAC8,14831,1.42,0.70,207,295,683,0,146,0,364,0,276,539
