,PAUVKY.03A,PAWHSD.03A,PAUTLA.03A,PAVUDU.03A,PAUVKY.40A,PAWHSD.40A,PAUTLA.40A,PAVUDU.40A
SNHG29.7764,809,593,1544,1426,727,104,418,2029
MACROH2A1.15404,882,295,889,720,264,134,274,1269
UROD.822,498,227,550,466,312,13,108,873
CANX.15124,678,271,902,811,587,128,282,1226
CANX.15130,892,292,1070,946,626,106,294,1436
BAG6.16478,314,130,266,270,201,104,115,285
PTBP1.9569,482,160,318,368,264,15,117,590
YWHAE.8237,795,334,757,735,520,0,264,984
CD164.16236,532,125,517,351,269,55,277,613
SMARCC1.13993,280,89,257,198,217,26,155,353
HNRNPU.1669,1056,302,762,829,549,0,544,962
ACTR2.10610,918,277,814,1041,680,0,635,1152
WDR26.1549,319,271,769,0,347,0,319,280
WAC.2229,281,236,871,0,265,0,304,366
WAC.2230,281,236,871,0,265,0,304,366
TAGLN2.1264,1988,1402,3195,0,1065,254,893,2049
ETF1.15429,528,181,708,0,305,0,369,358
ETF1.15432,555,206,708,0,330,0,365,336
RPL9.14684,3602,2373,6323,0,3476,1781,3827,0
MEF2D.1248,524,233,723,392,231,169,355,266
DUSP1.15550,1077,266,1733,308,431,0,905,491
CD74.15490,2165,1019,881,911,1005,0,2738,844
CD74.15487,2481,1195,1019,982,1144,0,3210,996
CTSS.1116,552,79,172,145,120,81,371,232
CTSS.1115,561,68,204,112,114,160,437,249
DDX21.2351,537,0,444,423,216,57,460,447
DDX5.8696,1057,351,979,657,649,547,733,728
ARHGAP4.19351,240,73,247,161,130,164,176,186
STXBP5.15837,407,0,311,0,416,0,245,415
DDX6.3521,705,0,857,0,744,0,987,1183
DDX21.2346,443,0,445,0,206,0,393,366
DDX21.2352,484,0,391,0,204,0,432,401
DDX21.2353,484,0,391,0,204,0,432,401
CHD1.15766,241,0,437,0,217,0,334,251
TRAPPC10.12189,282,0,465,0,250,0,241,311
ESYT2.17332,231,83,243,174,268,0,272,263
OGA.2550,295,146,372,265,389,0,466,487
CD44.3130,466,208,583,283,379,0,568,231
FOXP1.14161,447,206,416,312,439,56,695,435
CLK1.10982,571,306,642,351,492,28,832,546
HLA-E.15964,1040,421,895,622,948,3079,1412,992
ARHGEF1.9448,487,89,136,215,265,566,428,306
IRF1.15382,289,77,92,89,180,174,334,258
DGKA.4329,182,25,27,75,216,221,299,204
NELL2.4859,78,15,37,0,198,239,328,173
CD36.17026,255,86,210,385,733,0,335,523
CD36.17027,0,86,212,326,776,0,332,497
ATP5F1B.5020,0,0,0,0,293,68,134,556
PSMB7.18706,0,0,0,339,264,0,208,487
PSMB7.18707,0,0,0,444,299,0,238,538
CD47.13528,0,85,286,0,308,0,240,337
TM9SF2.5316,0,116,325,0,247,0,203,412
CCT7.10637,0,0,399,0,312,162,147,505
AP2M1.13090,0,235,599,0,299,184,148,476
FOXP1.14162,0,97,194,0,206,66,348,198
RASA3.5340,0,0,116,82,174,173,206,113
XPO6.7521,153,0,225,169,222,153,259,258
EML4.10539,118,0,163,119,203,98,272,110
